,timestamp,SOSC Position
249,2020-06-21 10:00:00,0.0
250,2020-06-21 11:00:00,0.0
251,2020-06-21 12:00:00,0.0
252,2020-06-21 13:00:00,0.0
253,2020-06-21 14:00:00,0.0
254,2020-06-21 15:00:00,0.0
255,2020-06-21 16:00:00,0.0
256,2020-06-21 17:00:00,0.0
257,2020-06-21 18:00:00,0.0
258,2020-06-21 19:00:00,0.0
259,2020-06-21 20:00:00,0.0
260,2020-06-21 21:00:00,0.0
261,2020-06-21 22:00:00,0.0
262,2020-06-21 23:00:00,-1.0
263,2020-06-22 00:00:00,-1.0
264,2020-06-22 01:00:00,-1.0
265,2020-06-22 02:00:00,0.0
266,2020-06-22 03:00:00,-1.0
267,2020-06-22 04:00:00,0.0
268,2020-06-22 05:00:00,-1.0
269,2020-06-22 06:00:00,-1.0
270,2020-06-22 07:00:00,0.0
271,2020-06-22 08:00:00,-1.0
272,2020-06-22 09:00:00,-1.0
273,2020-06-22 10:00:00,0.0
274,2020-06-22 11:00:00,0.0
275,2020-06-22 12:00:00,0.0
276,2020-06-22 13:00:00,0.0
277,2020-06-22 14:00:00,0.0
278,2020-06-22 15:00:00,0.0
279,2020-06-22 16:00:00,0.0
280,2020-06-22 17:00:00,0.0
281,2020-06-22 18:00:00,0.0
282,2020-06-22 19:00:00,0.0
283,2020-06-22 20:00:00,0.0
284,2020-06-22 21:00:00,0.0
285,2020-06-22 22:00:00,0.0
286,2020-06-22 23:00:00,0.0
287,2020-06-23 00:00:00,0.0
288,2020-06-23 01:00:00,-1.0
289,2020-06-23 02:00:00,0.0
290,2020-06-23 03:00:00,0.0
291,2020-06-23 04:00:00,0.0
292,2020-06-23 05:00:00,0.0
293,2020-06-23 06:00:00,0.0
294,2020-06-23 07:00:00,0.0
295,2020-06-23 08:00:00,0.0
296,2020-06-23 09:00:00,0.0
297,2020-06-23 10:00:00,-1.0
298,2020-06-23 11:00:00,0.0
299,2020-06-23 12:00:00,-1.0
300,2020-06-23 13:00:00,-1.0
301,2020-06-23 14:00:00,0.0
302,2020-06-23 15:00:00,-1.0
303,2020-06-23 16:00:00,-1.0
304,2020-06-23 17:00:00,0.0
305,2020-06-23 18:00:00,0.0
306,2020-06-23 19:00:00,0.0
307,2020-06-23 20:00:00,0.0
308,2020-06-23 21:00:00,0.0
